server, testtype, score
noPrio, con, 11717488
noPrio, con, 12073334
noPrio, con, 11674293
noPrio, lambda, 18865988
noPrio, lambda, 19156170
noPrio, lambda, 20300504
noPrio, total, 28688887
noPrio, total, 31554210
noPrio, total, 31042072
Prio, con, 12448644
Prio, con, 11993231
Prio, con, 11394950
Prio, lambda, 18618446
Prio, lambda, 20868777
Prio, lambda, 18169044
Prio, total, 32752382
Prio, total, 31944530
Prio, total, 30401518

